db,id,year,title,venue,type,url,query,already_screened_d01,triage_score,triage_terms
crossref,doi:10.1007/s11630-022-1729-z,2022,Experimental Research on Inlet Steady Swirl Distortion in an Axial Compressor with Non-Uniform Tip Clearance,Journal of Thermal Science,journal-article,https://doi.org/10.1007/s11630-022-1729-z,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;non-uniform
crossref,doi:10.1115/tbts2013-2034,2013,Experimental and Unsteady Numerical Investigation of the Tip Clearance Noise of an Axial Fan,ASME 2013 Turbine Blade Tip Symposium,proceedings-article,https://doi.org/10.1115/tbts2013-2034,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;shroud
crossref,doi:10.1007/s11630-010-0007-7,2010,Experimental study of effects of one kind of tangentially non-uniform tip clearance on the flow field at an exit of a compressor cascade passage,Journal of Thermal Science,journal-article,https://doi.org/10.1007/s11630-010-0007-7,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;non-uniform
crossref,doi:10.47176/jafm.17.8.2371,2024,Fast-moving Mesh Method and Its Application to Circumferential Non-uniform Tip Clearance in a Single-stage Turbine,Journal of Applied Fluid Mechanics,journal-article,https://doi.org/10.47176/jafm.17.8.2371,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;non-uniform
crossref,doi:10.2139/ssrn.4738015,2024,Hovering Efficiency Optimization of Ducted Propeller with Large Blade Tip Clearance Based on Grooved Duct Configuration,,posted-content,https://doi.org/10.2139/ssrn.4738015,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;ducted;propeller
crossref,doi:10.5957/pss-1997-17,1997,Implementation of a Special Procedure for Modeling the Tip Clearance Flow in a Panel Method for Ducted Propulsors,SNAME 8th Propeller and Shafting Symposium,proceedings-article,https://doi.org/10.5957/pss-1997-17,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;ducted;propeller
crossref,doi:10.4028/www.scientific.net/amr.889-890.374,2014,Influence of Finite Tip Clearance on the Tip Flow Characteristics of Ducted Propeller,Advanced Materials Research,journal-article,https://doi.org/10.4028/www.scientific.net/amr.889-890.374,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;ducted;propeller
crossref,doi:10.1515/ijnaoe-2015-0056,2015,Numerical investigation of tip clearance effects on the performance of ducted propeller,International Journal of Naval Architecture and Ocean Engineering,journal-article,https://doi.org/10.1515/ijnaoe-2015-0056,ducted fan tip clearance ovality,False,5,tip clearance;ducted;propeller
crossref,doi:10.1515/tjj-2023-0063,2023,Numerical investigation of tip clearance flow in a variable geometry turbine with non-uniform partial clearance,International Journal of Turbo &amp; Jet-Engines,journal-article,https://doi.org/10.1515/tjj-2023-0063,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;non-uniform
crossref,doi:10.1016/j.apor.2011.07.002,2011,Numerical investigation on the performance of Wells turbine with non-uniform tip clearance for wave energy conversion,Applied Ocean Research,journal-article,https://doi.org/10.1016/j.apor.2011.07.002,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;non-uniform
crossref,doi:10.1299/kikai1938.32.1691,1966,"On the Characteristics of Wing with Tip Clearance : 1st Report, The Influences of the Wing-Tip Clearance Contained within a Non-Uniform Flow",Transactions of the Japan Society of Mechanical Engineers,journal-article,https://doi.org/10.1299/kikai1938.32.1691,ducted fan non-uniform tip clearance experimental,False,5,tip clearance;non-uniform
crossref,doi:10.5957/pss-1978-011,1978,Propeller-Duct Interaction Due to Loading and Thickness Effects,SNAME Propellers '78 Symposium,proceedings-article,https://doi.org/10.5957/pss-1978-011,foldable duct propeller rotor,False,5,non-uniform;shroud;propeller
crossref,doi:10.1115/gt2004-53408,2004,The Aerodynamic Interaction of Tip Leakage and Mainstream Flows in a Fully-Ducted Axial Fan,"Volume 5: Turbo Expo 2004, Parts A and B",proceedings-article,https://doi.org/10.1115/gt2004-53408,ducted fan tip clearance ovality,False,5,tip clearance;ducted;rotor
crossref,doi:10.14710/kapal.v21i3.64772,2024,The Effect of Tip Clearance Kaplan Ducted Propeller in Offshore Supply Vessel (OSV) on Hydrodynamics,Kapal: Jurnal Ilmu Pengetahuan dan Teknologi Kelautan,journal-article,https://doi.org/10.14710/kapal.v21i3.64772,ducted fan tip clearance ovality,False,5,tip clearance;ducted;propeller
crossref,doi:10.1109/ieeeconf38699.2020.9389439,2020,Tip clearance influence on pressure fluctuation of a composite ducted propeller using two-way FSI method,Global Oceans 2020: Singapore – U.S. Gulf Coast,proceedings-article,https://doi.org/10.1109/ieeeconf38699.2020.9389439,ducted fan tip clearance ovality,False,5,tip clearance;ducted;propeller
arxiv,arxiv:2409.15822,2024,A Ducted Fan UAV for Safe Aerial Grabbing and Transfer of Multiple Loads Using Electromagnets,,,https://arxiv.org/abs/2409.15822,ducted fan non-uniform tip clearance experimental,False,4,ducted fan;ducted;propeller
crossref,doi:10.1115/gt2011-45979,2011,Aerodynamic and Aerothermal Investigation of the Flow Around an HPT Rotor Shroud: Heat Transfer and Cooling Effectiveness,"Volume 5: Heat Transfer, Parts A and B",proceedings-article,https://doi.org/10.1115/gt2011-45979,segmented shroud rotor duct seam aerodynamic,False,4,ducted;shroud;rotor
crossref,doi:10.1115/gt2011-45977,2011,Aerodynamic and Aerothermal Investigation of the Flow Around an HPT Rotor Shroud: PIV Measurements,"Volume 5: Heat Transfer, Parts A and B",proceedings-article,https://doi.org/10.1115/gt2011-45977,segmented shroud rotor duct seam aerodynamic,False,4,ducted;shroud;rotor
crossref,doi:10.1299/jsmehs.2021.58.f026,2021,Aerodynamic noise of propeller and shroud of multi-rotor drone in cross-wind conditions,The Proceedings of Conference of Hokuriku-Shinetsu Branch,journal-article,https://doi.org/10.1299/jsmehs.2021.58.f026,segmented shroud rotor duct seam aerodynamic,False,4,shroud;rotor;propeller
